AthleteID,Sport,Sprint40m_seconds,VerticalJumpCm,BenchPress1RM_kg,SquatMax_kg,ThrowingVelocity_ms
1,Baseball,5.2,52,80,120,35
2,Baseball,5.0,55,85,128,37
3,Baseball,5.3,53,75,115,33
4,Baseball,4.9,57,90,135,39
5,Baseball,4.8,58,95,140,40
6,Baseball,5.4,50,70,110,32
7,Baseball,5.1,56,88,132,38
8,Baseball,5.2,54,82,122,36
9,Baseball,4.9,57,92,138,39
10,Baseball,5.3,52,78,118,34
11,Basketball,5.1,62,75,125,28
12,Basketball,4.9,65,82,135,30
13,Basketball,5.0,63,78,128,29
14,Basketball,4.8,67,85,142,31
15,Basketball,5.2,60,73,120,27
16,Volleyball,5.3,58,70,115,25
17,Volleyball,5.1,61,76,123,27
18,Volleyball,5.0,62,78,128,28
19,Volleyball,5.2,59,72,118,26
20,Volleyball,4.9,64,80,132,29
