ParticipantID,Program,WeeklyHours,FlexibilityImprovement_cm,StrengthGain_kg,EnduranceChange_min
1,Yoga,4,35,5,8
2,Yoga,5,38,4,10
3,Yoga,4.5,36,6,9
4,Yoga,4,37,5,7
5,Yoga,5,39,4,11
6,StaticStretching,3,32,8,6
7,StaticStretching,3.5,30,9,5
8,StaticStretching,3,33,7,7
9,StaticStretching,3.5,31,8,6
10,StaticStretching,3,34,7,8
11,DynamicStretching,3,28,12,4
12,DynamicStretching,3.5,30,11,5
13,DynamicStretching,3,29,13,3
14,DynamicStretching,3.5,27,14,4
15,DynamicStretching,3,31,11,6
16,Control,0,20,2,1
17,Control,0,22,1,2
18,Control,0,21,2,1
19,Control,0,19,3,2
20,Control,0,23,2,1
