SubjectID,Group,PreTest_VerticalJump_cm,PostTest_VerticalJump_cm,PreTest_Sprint_sec,PostTest_Sprint_sec
1,Plyometric,48,52,5.5,5.2
2,Plyometric,50,55,5.4,5.0
3,Plyometric,49,53,5.6,5.3
4,Plyometric,51,57,5.3,4.9
5,Plyometric,47,54,5.7,5.4
6,Plyometric,49,56,5.5,5.1
7,Plyometric,50,55,5.4,5.0
8,Plyometric,52,58,5.2,4.8
9,Plyometric,48,54,5.6,5.2
10,Plyometric,50,56,5.5,5.1
11,Traditional,48,48,5.5,5.4
12,Traditional,50,50,5.4,5.3
13,Traditional,49,49,5.6,5.5
14,Traditional,51,51,5.3,5.2
15,Traditional,47,47,5.7,5.6
16,Traditional,49,52,5.5,5.2
17,Traditional,50,49,5.4,5.3
18,Traditional,52,50,5.2,5.1
19,Traditional,48,48,5.6,5.5
20,Traditional,50,51,5.5,5.4
